 L  R C  STAGE     CONDUCTANCE   BOTTOM
 1  1 15 20.100000 0.05          20.000000
 1  2 15 19.870000 0.05          19.750000
 1  3 15 19.650000 0.05          19.500000
 1  4 15 19.420000 0.05          19.250000
 1  5 15 19.190000 0.05          19.000000
 1  6 15 18.970000 0.05          18.750000
 1  7 15 18.740000 0.05          18.500000
 1  8 15 18.510000 0.05          18.250000
 1  9 15 18.280000 0.05          18.000000
 1 10 15 19.060000 0.05          17.750000
 1 11 15 17.830000 0.05          17.500000
 1 12 15 17.600000 0.05          17.250000
 1 13 15 17.380000 0.05          17.000000
 1 14 15 17.150000 0.05          16.750000
 1 15 15 16.920000 0.05          16.500000
 1 16 15 16.700000 0.05          16.250000
 1 17 15 16.470000 0.05          16.000000
 1 18 15 16.240000 0.05          15.750000
 1 19 15 16.020000 0.05          15.500000
 1 20 15 15.790000 0.05          15.250000
 1 21 15 15.560000 0.05          15.000000
 1 22 15 15.330000 0.05          14.750000
 1 23 15 15.110000 0.05          14.500000
 1 24 15 14.880000 0.05          14.250000
 1 25 15 14.650000 0.05          14.000000
 1 26 15 14.430000 0.05          13.750000
 1 27 15 14.200000 0.05          13.500000
 1 28 15 13.970000 0.05          13.250000
 1 29 15 13.750000 0.05          13.000000
 1 30 15 13.520000 0.05          12.750000
 1 31 15 13.290000 0.05          12.500000
 1 32 15 13.070000 0.05          12.250000
 1 33 15 12.840000 0.05          12.000000
 1 34 15 12.610000 0.05          11.750000
 1 35 15 12.380000 0.05          11.500000
 1 36 15 12.160000 0.05          11.250000
 1 37 15 11.930000 0.05          11.000000
 1 38 15 11.700000 0.05          10.750000
 1 39 15 11.480000 0.05          10.500000
 1 40 15 11.250000 0.05          10.250000
